instance,n,h,d,makespan,total_time,truck_time_sum,drone_time_sum,unserved,feasible,runtime_ms,avg_drone_customers_per_sortie,avg_truck_customers_per_sortie
instance/12.20.1.txt,12,1,1,5414.361499,10795.248474,5380.886974,5414.361499,0,1,1.132111,2.666667,1.333333
instance/12.20.2.txt,12,1,1,7348.970161,12557.930237,7348.970161,5208.960076,0,1,1.379364,3.500000,2.500000
instance/12.20.3.txt,12,1,1,4459.295420,8432.888070,4459.295420,3973.592650,0,1,0.912653,4.000000,2.000000
instance/12.20.4.txt,12,1,1,6872.795795,11634.150005,6872.795795,4761.354210,0,1,1.012961,3.500000,1.666667
instance/12.5.1.txt,12,1,1,1452.811876,2638.846838,1452.811876,1186.034963,0,1,1.287941,3.000000,6.000000
instance/12.5.2.txt,12,1,1,1488.668047,2821.260127,1488.668047,1332.592081,0,1,1.444625,3.500000,5.000000
instance/12.5.3.txt,12,1,1,1741.395554,3226.890566,1741.395554,1485.495012,0,1,1.195641,2.000000,3.000000
instance/12.5.4.txt,12,1,1,1521.186750,2937.069303,1521.186750,1415.882553,0,1,0.938782,2.333333,5.000000
instance/20.10.1.txt,20,2,2,2603.868769,8702.270367,4998.527614,3703.742754,0,1,1.991966,4.000000,2.666667
instance/20.10.2.txt,20,2,2,1959.468694,7547.258718,3705.614356,3841.644362,0,1,2.305862,3.000000,2.666667
instance/20.10.3.txt,20,2,2,2139.785659,7814.053137,4084.073055,3729.980082,0,1,1.723568,3.000000,4.000000
instance/20.10.4.txt,20,2,2,2092.795759,7372.528809,3205.957154,4166.571656,0,1,1.750907,3.250000,3.500000
instance/20.20.1.txt,20,2,2,4498.948707,16045.452150,8532.094763,7513.357388,0,1,2.357387,3.250000,2.333333
instance/20.20.2.txt,20,2,2,6158.872835,17306.171535,11550.648814,5755.522721,0,1,2.131096,3.000000,2.000000
instance/20.20.3.txt,20,2,2,4778.003354,15124.574352,8273.489605,6851.084747,0,1,2.057157,3.250000,2.333333
instance/20.20.4.txt,20,2,2,4902.026090,14368.241751,8308.799267,6059.442484,0,1,2.225312,4.000000,4.000000
instance/20.5.1.txt,20,2,2,1438.571622,4817.278035,2571.266566,2246.011468,0,1,1.589485,2.500000,5.000000
instance/20.5.2.txt,20,2,2,1510.794398,4730.893903,2618.240875,2112.653028,0,1,1.706917,2.500000,5.000000
